epochs,train,test
1,1.009630685754031,0.7793829568231105
2,0.6232014340327382,0.5054541177296639
3,0.4391145028899908,0.3738498813635111
4,0.33782398787519335,0.29739071854948995
5,0.2651179351275563,0.2332841097843647
6,0.2098623240389824,0.18864392421841622
7,0.17191988955765963,0.15180980928659438
8,0.1462334004111141,0.1362079096210003
9,0.1278238256855607,0.12280948507785797
10,0.11464989268189668,0.10535926111489534
11,0.1045424006525278,0.09772378478556872
12,0.09691921259382368,0.09255234855368734
13,0.09118179209075868,0.08714372345983983
14,0.08605747351501881,0.08673331680774689
15,0.08201035030692816,0.09397535448759795
16,0.07853363682556153,0.07863949106037617
17,0.07546568771189452,0.08245955060064793
18,0.07278652365115285,0.08760641690224409
19,0.07057629142796994,0.06824462697952986
20,0.06846755522699655,0.0727698747523129
21,0.06706373498953878,0.06619542698413133
22,0.06529065507593751,0.07000537148401141
23,0.0636576475647539,0.0722734437122941
24,0.0623719477211684,0.06106727292075753
25,0.06102252651232481,0.08910451077342034
26,0.06009965107706189,0.06433699775576592
27,0.058994022071018816,0.0667568400400877
28,0.05826141767828166,0.05767024686425924
29,0.05718331543700397,0.059200823321342466
30,0.0561805054166466,0.05701656273916364
31,0.055529419754832984,0.05581115560263395
32,0.05499270788522065,0.05290944960594177
33,0.054168542811438444,0.051572647894471885
34,0.05350590223711729,0.05406301759898663
35,0.052827213640064,0.05080701810657978
36,0.052397952241808175,0.05382315891683102
37,0.05163480759622156,0.053341464871615174
38,0.05157167789123952,0.05116215606451035
39,0.05081883818596601,0.05369501159086824
40,0.05029628751894832,0.04890244655057788
41,0.04989842211902887,0.048921451998502015
42,0.049317931091398,0.04723945796191693
43,0.0489191360059157,0.0454051455372572
44,0.04872818519708514,0.0535630235427618
45,0.04823292908743024,0.04860319753825665
46,0.047805899150043726,0.046477022806853056
47,0.04750574099628627,0.05076224087029695
48,0.047249982671707866,0.0437116049040854
49,0.04701951443982124,0.048833793419599536
50,0.046458934470385314,0.0442985045260191
51,0.04611399224115908,0.04642455845579505
52,0.045685341247454284,0.04616465091884136
53,0.045721454513162375,0.04390448505714536
54,0.04515650899593532,0.04416193962171674
55,0.04493224687419832,0.043009472997635606
56,0.044675686022654176,0.04545555021584034
57,0.04440431873951852,0.04724538456186652
58,0.04403899745213986,0.04390934236526489
59,0.04407504053993523,0.04946700820237398
60,0.043595416467264295,0.04064771289005876
61,0.04336442046135664,0.04450909321501851
62,0.042960118471071125,0.06295950801312923
63,0.0429625020455271,0.043216905400454995
64,0.042882476518310605,0.041532786358743905
65,0.04238678792734444,0.04241429693803191
66,0.04234580695775151,0.04969011943653226
67,0.042019917421124875,0.04327158028528094
68,0.04185221885792911,0.04344586390376091
69,0.04160937980337441,0.04518059663563967
70,0.041475862692788246,0.04378647074684501
71,0.04108395737855136,0.04507343171790242
72,0.04108024489118159,0.03983493303596974
73,0.040988636087350545,0.041487488139718774
74,0.04063988015863299,0.040888081164807084
75,0.040518999405920506,0.04340897703394294
76,0.04050566522033513,0.04050536387398839
77,0.04019945556154847,0.03719761031627655
78,0.04011373851513863,0.03998778286218643
79,0.04000476943793893,0.04136052444890141
80,0.039760772595629094,0.05252572260066867
81,0.03971839277276397,0.041155997890532016
82,0.0392934507303983,0.042856771645843984
83,0.039593370717145505,0.046316839673966166
84,0.039095781573534015,0.042403631413429975
85,0.039084998257875446,0.03770225507363677
86,0.03915835685723275,0.039307240484058856
87,0.03874757586360723,0.04311845773279667
88,0.03878286228303611,0.036479671144336465
89,0.0383873762512058,0.04383604336321354
90,0.03848859064748883,0.03908648691922426
91,0.038277619896888736,0.03643083069875836
92,0.03809817710033804,0.03694467659711838
93,0.0380550650523454,0.04583701249420643
94,0.03798264315974712,0.03634696042388678
95,0.03777975411557406,0.03715529676988721
96,0.037796864882290365,0.0423073997887969
97,0.03771682044531405,0.03881512769281864
98,0.03770541198940575,0.03530542808398605
99,0.03746046190712601,0.04174186777025461
100,0.03738017692577094,0.0357779993031174
