epochs,train,test
1,0.003932349132392555,0.0014179984715394676
2,0.0009536430219803005,0.0009126505310460925
3,0.0007651852629110217,0.0006927529509644956
4,0.0006822530633267015,0.0006322724715061486
5,0.0006368893806766719,0.0006017269832454622
6,0.0006009032157873735,0.000558939610896632
7,0.0005639953876482323,0.0006128150046058
8,0.0005306807574601844,0.0005305166676733643
9,0.0005068101320369169,0.0004506546477880329
10,0.0004912450288254768,0.0005500334673374891
11,0.00047378440576046704,0.0005146149552986025
12,0.00046494134919112547,0.0004580994141474366
13,0.00045201215755939485,0.0004919960079994053
14,0.0004423303056186996,0.0003812195609789342
15,0.000430013215880841,0.00038194605313241484
16,0.00041267672589980067,0.00036439368905033916
17,0.00040195102116744963,0.00038194913647603243
18,0.0003877890875227749,0.0003547792482562363
19,0.00037543058424070475,0.000477574118738994
20,0.00036538717623101546,0.00038628790081478656
21,0.0003562965291053988,0.0003569918752554804
22,0.00034808969621360304,0.0003852018660260364
23,0.00033824720957130195,0.0003208158487128094
24,0.0003307945221718401,0.00036051056045573204
25,0.00032396760330349205,0.00042935313736088573
26,0.0003188036830490455,0.000292584166652523
27,0.00031447771460749207,0.0002706365656387061
28,0.0003100947045171633,0.0003091095527773723
29,0.00030732029192801565,0.00038845939862541855
30,0.00030418363387463613,0.0002833487003296614
31,0.00029970481379237027,0.0002933252295665443
32,0.00029617092876695094,0.0003479809105023742
33,0.0002920995247378014,0.00028924228891264646
34,0.0002903006551391445,0.00030404478256125
35,0.0002881168114808388,0.0002745070644468069
36,0.000285600264294073,0.0002852842077752575
37,0.0002822616597181186,0.00023934528767131268
38,0.00027937606992665677,0.0002417843022197485
39,0.00027685437135817483,0.00026370181845501066
40,0.000273856359903235,0.0002628463583579287
41,0.0002720584167456254,0.00025289703578688206
42,0.0002698211622275412,0.0003184289771551266
43,0.0002672788650626317,0.00026695995225105437
44,0.0002644881627038121,0.00026592277948278933
45,0.0002618281126585789,0.00024667339618317783
46,0.00025876238051056864,0.00026173121793195603
47,0.00025660210331622513,0.00023556721873115748
48,0.0002552962313597091,0.0002663630336942151
49,0.00025312945174844935,0.00023014039007481188
50,0.00025166079252306374,0.00025714880106039343
51,0.00025039631907548755,0.00023341836943291129
52,0.0002486454613353126,0.0002930906788352877
53,0.00024755891431402417,0.00023298298754263668
54,0.00024662108325539155,0.00022172470358200371
55,0.00024445323255332187,0.00027543790615163746
56,0.0002427370270132087,0.0003084817718807608
57,0.00024064283058745787,0.0002592811708524823
58,0.00023877366176294163,0.00024353886005934328
59,0.00023850009229779243,0.0002296362802479416
60,0.00023659469005605206,0.0003407875808794051
61,0.00023513100601499901,0.0002165216805646196
62,0.0002338862358792685,0.00023747702383436261
63,0.00023228237051703036,0.0002131291511375457
64,0.00023049123136512935,0.00019982059266418218
65,0.00022947035587835127,0.00022567269862629473
66,0.00022769858730793932,0.00023512355306651444
67,0.0002266084208264947,0.00020074537761276587
68,0.0002245735167984385,0.00020084661873057485
69,0.00022347681406722404,0.00021907092274166644
70,0.0002220260855455417,0.0002170148904947564
71,0.00022044689350319096,0.00024934606350958345
72,0.0002188218573089689,0.00024324085501022637
73,0.0002182319519103039,0.0002086939511541277
74,0.0002165271687610075,0.00023670031294692308
75,0.00021589749577408658,0.00020988719156943262
76,0.00021465235767606646,0.00020969421906862407
77,0.00021344646139163524,0.00021439978610724212
78,0.0002126804047555197,0.00021121313189156353
79,0.00021243455372541213,0.00021153913399204612
80,0.00021049874306796118,0.00020955880287103356
81,0.00020947778305108658,0.0001986661836085841
82,0.00020883525682124308,0.00021115663319826126
83,0.00020775097572803497,0.00018647475081728771
84,0.00020640090012922883,0.00021275878190528603
85,0.00020567656812956557,0.00019525530853308737
86,0.0002045846333131194,0.0002158964550914243
87,0.00020231510044937023,0.00019743400246370583
88,0.00020072409540298396,0.000199461042676121
89,0.00019916416946705431,0.00020573915134649724
90,0.00019834443741384894,0.00020059395710937677
91,0.00019689251794433222,0.00019825296083465218
92,0.00019661505458760074,0.0001758191294153221
93,0.00019582445828453637,0.00017679128401447089
94,0.00019520960318413562,0.00019035085740033537
95,0.00019495227443706243,0.00019429884037934242
96,0.00019469370224745944,0.0001943590800696984
97,0.00019368202264909634,0.0001735340728587471
98,0.00019308114976854994,0.0001816527829458937
99,0.00019239564302400686,0.00021025196315720677
100,0.00019212053863774053,0.00021302282768301666
