i,c
0,-0.11007034962194548
1,-0.00410624669540997
2,1.444528796426515
3,-0.3110599729613649
4,1.5786250443584553
5,0.005310910142114522
6,-0.665455299290199
7,-2.3931699518363887
8,-0.05553484024433546
9,0.04816536843284665
10,0.16396007541497037
11,0.029053240141364317
12,-0.09137011938879327
13,-0.04517815376058569
14,0.28024593915093077
15,-1.0217669001014105
16,-1.6663038891047928
17,-0.1719599095569576
18,2.2593759597731995
19,0.38591658492417413
20,1.2362316528521737
21,-0.39763250993714605
22,0.7806155561732151
23,1.1932086580779955
24,-0.015838853839151623
25,-0.07382702715404899
26,-0.013428584316328412
27,0.04239591371858514
28,2.555283406183445
29,-0.005980017027913909
30,0.01264046519312046
31,-0.7144960963449678
32,0.5664279701766656
33,-0.22460656031138632
34,-1.9294380168343777
35,3.4583538766597206
36,-1.0074154395110777
37,0.13287091667179693
38,-0.0036719163904231026
39,0.0033179632826949037
40,0.08320306649147005
41,-2.8915546288607095
42,0.07199845243451014
43,1.3190221772105613
44,0.9411919215840319
45,-0.3226001869204427
46,-0.0033041752721101746
47,-0.05003073754054971
48,-2.3108161521265185
49,0.7312111351071839
