bra,ket,ahb,norm
1,1,0.17053289711475372,0.6928958296775818
1,2,-0.0023666212800890207,2.5134369934676215e-05
1,3,0.00019744064775295556,-1.150156435869576e-06
1,4,0.0008332819561474025,-6.02212958256132e-06
1,5,-0.0019094926537945867,2.6290230380254798e-05
1,6,-0.0016142047243192792,1.5399977201013826e-05
1,7,-0.08238156884908676,0.0012761012185364962
1,8,-0.0020853220485150814,1.8209137124358676e-05
1,9,-0.00018907460616901517,1.4664418586107786e-06
1,10,-0.000196839144336991,2.147880422853632e-06
1,11,0.07316316664218903,-0.0009005637839436531
1,12,0.010249131359159946,-0.0001009684128803201
1,13,2.3645201508770697e-05,3.306793701085553e-07
1,14,0.002314608544111252,-1.610065191925969e-05
1,15,-0.0036213763523846865,3.708922668010928e-05
1,16,9.92047989711864e-06,6.822983777965419e-07
1,17,0.009920328855514526,-0.00010415622091386467
1,18,-0.12444651871919632,0.0026797917671501637
1,19,0.011251071467995644,-0.0001894770102808252
1,20,-0.004160881508141756,4.377404184197076e-05
1,21,0.019726332277059555,-0.00021986431966070086
1,22,-0.0031298953108489513,4.0816863474901766e-05
1,23,-0.05446924269199371,0.0009209553245455027
1,24,0.06563757359981537,-0.0007527960115112364
1,25,0.0007277152617461979,-6.0265765569056384e-06
1,26,0.003836397547274828,-3.669594298116863e-05
1,27,-0.00017314989236183465,1.4243013310988317e-06
1,28,0.0025940085761249065,-3.51587041222956e-05
1,29,0.2849409580230713,-0.006043164059519768
1,30,0.006505121942609549,-6.077123180148192e-05
1,31,-1.0555124390521087e-05,7.747929657853092e-07
1,32,-0.1256774514913559,0.0022516539320349693
1,33,-0.25720372796058655,0.00600435072556138
1,34,-0.0655815377831459,0.0009509773808531463
1,35,-0.10179713368415833,0.0016242634737864137
1,36,-0.002097858116030693,1.7567339455126785e-05
1,37,-0.0009939295705407858,1.1109936167486012e-05
1,38,-5.019266973249614e-05,6.228309530342813e-07
1,39,-0.0002027727896347642,2.7426465294411173e-06
1,40,0.00022044722572900355,-1.4124657354841474e-06
1,41,-1.7879694700241089,0.07580210268497467
1,42,-0.3894557058811188,0.008203307166695595
1,43,-0.17807839810848236,0.0032159520778805017
1,44,-0.001585320569574833,2.844115260813851e-05
1,45,0.005656793247908354,-6.104641215642914e-05
1,46,0.09152285009622574,-0.0014433825854212046
1,47,-0.2735667824745178,0.005329938605427742
1,48,-3.82032994821202e-05,8.513644615959493e-07
1,49,0.3756910562515259,-0.007585306651890278
1,50,0.003465077606961131,-3.984853174188174e-05
2,2,2.1625003814697266,0.9953950047492981
2,3,-5.705612420570105e-05,7.924850251583848e-07
2,4,-0.0005079751135781407,5.278101525618695e-06
2,5,-8.943532884586602e-05,9.434839398636541e-07
2,6,-0.00040381657890975475,5.09610572407837e-06
2,7,-0.0049439966678619385,4.937652192893438e-05
2,8,-0.0011730093974620104,1.170237192127388e-05
2,9,-0.00035887054400518537,2.204625843660324e-06
2,10,-2.2576807168661617e-05,1.1048564374505077e-06
