i,c
0,-0.08757350574372494
1,-0.0037157119163319504
2,1.4595230944293451
3,-0.3118326668674971
4,1.4740183787316208
5,0.003693398071170178
6,-0.6395287316554932
7,-2.330696033073094
8,-0.05173592799192123
9,0.044802842181194596
10,0.15673495644303062
11,0.0323346128468049
12,-0.11602306876378601
13,-0.04098488907956619
14,0.2717972520549833
15,-1.1216262027920592
16,-1.5859437759052344
17,-0.20192222547456076
18,2.1404872683194975
19,0.38748752764289096
20,1.177867422728148
21,-0.3423823674104217
22,1.0236142029611786
23,1.1306701960577774
24,-0.014571069976819534
25,-0.08914548487697166
26,-0.019627063567181635
27,0.0737400535649752
28,2.4306969450918214
29,-0.004638977816005393
30,0.0119771466015806
31,-0.668162459038353
32,0.6780581263792604
33,-0.2132573059342675
34,-1.813500965941787
35,3.921522009136118
36,-0.9643132284022009
37,0.13933405894390782
38,-0.005734020099676223
39,0.003042439514094958
40,0.12445679960320141
41,-2.7352040364196313
42,0.05637744834953411
43,1.1914530172371678
44,0.8931799543630349
45,-0.32198616061772334
46,-0.001886259761827123
47,-0.04681564510211372
48,-2.214045023382361
49,0.673503972557232
